Link	Title
https://learningmusic.ableton.com/	Get started making music
https://jcp.org/en/jsr/results?id=5959	JDK 9 modules voted down by EC
http://kurokesu.com/main/2017/05/08/3d-scanning-like-a-pro/	3D scanning like a pro
https://code.facebook.com/posts/1978007565818999/a-novel-approach-to-neural-machine-translation/	A novel approach to neural machine translation
https://michaelfairley.com/blog/i-made-a-game-in-rust/	Making a Game in Rust
https://www.amazon.com/echoshow	Amazon Echo Show
http://www.brendangregg.com/blog/2017-05-09/cpu-utilization-is-wrong.html	CPU Utilization is Wrong
https://www.nytimes.com/2017/05/09/sports/polish-climbers-to-scale-deadly-k2-peak-in-winter.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news&_r=0	Scaling the World’s Most Lethal Mountain in the Dead of Winter
https://www.washingtonpost.com/world/national-security/comey-misstated-key-clinton-email-evidence-at-hearing-say-people-close-to-investigation/2017/05/09/074c1c7e-34bd-11e7-b373-418f6849a004_story.html	President Trump Dismisses FBI Director Comey
https://sqlnotebook.com/	SQL Notebook
https://github.com/c-cube/datalog/blob/master/README.rst	Type-safe Datalog in OCaml
https://thecorrespondent.com/6229/how-billions-vanish-into-the-black-hole-that-is-the-security-industry/303333613-52f43e22	How billions vanish into the security industry
https://hacks.mozilla.org/2017/05/quantum-up-close-what-is-a-browser-engine/	Quantum Up Close: What is a browser engine?
http://mattwarren.org/2017/05/08/Arrays-and-the-CLR-a-Very-Special-Relationship/	Arrays and the .NET CLR – A Very Special Relationship
http://www.nrel.gov/news/press/2017/41803	New Method of Microbial Energy Production Discovered
http://www.businessinsider.com/mathias-dopfner-tim-berners-lee-world-wide-web-interview-2017-5	Tim Berners-Lee on the future of the internet, 'fake news,' and net neutrality
https://www.nytimes.com/2017/05/09/magazine/how-privacy-became-a-commodity-for-the-rich-and-powerful.html	How Privacy Became a Commodity for the Rich and Powerful
https://blog.mozilla.org/thunderbird/2017/05/thunderbirds-future-home/	Thunderbird’s Future Home
https://notamonadtutorial.com/lasp-a-little-further-down-the-erlang-rabbithole-febba29c8d0c	Lasp: a little further down the Erlang rabbithole
http://blog.digitalglobe.com/news/digitalglobe-satellite-imagery-launch-for-openstreetmap/	DigitalGlobe satellite imagery launch for OpenStreetMap
https://gankro.github.io/blah/linear-rust/	The Pain of Real Linear Types in Rust
http://www.the-tls.co.uk/articles/public/look-back-with-danger/	Look back with danger: on nostalgia
https://blog.apnic.net/2017/05/09/bbr-new-kid-tcp-block/	BBR, the new kid on the TCP block
https://www.bloomberg.com/view/articles/2017-05-08/what-s-reasonable-to-qualcomm-isn-t-to-apple	What's Reasonable to Qualcomm Isn't to Apple
https://medium.com/@jasonyuan/i-got-rejected-by-apple-music-so-i-redesigned-it-b7e2e4dc64bf	Redesigning Apple Music after Being Rejected
https://jobs.lever.co/buildzoom	BuildZoom is hiring
https://docs.google.com/spreadsheets/d/1tAX5ZJzluilhoYKjra-uHbMCZraaQkqIHl3RIQ8mVkM/edit#gid=0	Authentication Techniques for APIs
http://www.reuters.com/article/us-markets-forex-bitcoin-idUSKBN1852DL	Bitcoin surges to all-time high above $1,700
http://blog.japaric.io/fearless-concurrency/	Fearless concurrency in your microcontroller
https://github.com/JuliaLang/julia/blob/v0.6.0-rc1/NEWS.md	Julia 0.6.0-rc1 new language features
